room_no,lab_name,equipment_name,status
303,Anatomy Lab,Disarticulated Bone set,Non Consumable
303,Anatomy Lab,Disarticulated Bone set,Non Consumable
303,Anatomy Lab,Lacet (600),Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,ABD Antigen Pack,Non Consumable
303,Anatomy Lab,ABD Antigen Pack,Non Consumable
303,Anatomy Lab,ABD Antigen Pack,Non Consumable
303,Anatomy Lab,Muscular Body,Non Consumable
303,Anatomy Lab,Brain with Skull,Non Consumable
303,Anatomy Lab,Nerves and Blood Vessels skeleton,Non Consumable
303,Anatomy Lab,Neuron,Non Consumable
303,Anatomy Lab,Eye Ball,Non Consumable
303,Anatomy Lab,Anatomical Ear,Non Consumable
303,Anatomy Lab,"Cavities of Nose, Mouth and Pharynx with Larynx",Non Consumable
303,Anatomy Lab,Thoracic cavity Model,Non Consumable
303,Anatomy Lab,Bronchial tree,Non Consumable
303,Anatomy Lab,The Shoulder Joint,Non Consumable
303,Anatomy Lab,The Elbow Joint,Non Consumable
303,Anatomy Lab,The Hip Joint,Non Consumable
303,Anatomy Lab,The Knee Joint,Non Consumable
303,Anatomy Lab,The Hand,Non Consumable
303,Anatomy Lab,Normal Foot,Non Consumable
303,Anatomy Lab,Disarticulated Bones,Non Consumable
303,Anatomy Lab,Imorted Vertebral Column with Stand,Non Consumable
303,Anatomy Lab,Skeleton of Female Pelvis,Non Consumable
303,Anatomy Lab,CPR half Body,Non Consumable
303,Anatomy Lab,Disarticulated Bone set,Non Consumable
303,Anatomy Lab,Disarticulated Bone set,Non Consumable
303,Anatomy Lab,Lacet (600),Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Predesigned Slides,Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Capillaries (Both sides Open),Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Mercury BP Cuff Machine with Stethoscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,Microscope,Non Consumable
303,Anatomy Lab,ABD Antigen Pack,Consumable
303,Anatomy Lab,ABD Antigen Pack,Consumable
303,Anatomy Lab,ABD Antigen Pack,Consumable
