room_no,lab_name,equipment_name,status
305,Exercise Tolerance and Fitness Lab,TMT Unit,Non Consumable
305,Exercise Tolerance and Fitness Lab,Bicycle Ergometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Bicycle Ergometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Skin Fold Calipers,Non Consumable
305,Exercise Tolerance and Fitness Lab,Skin Fold Calipers,Non Consumable
305,Exercise Tolerance and Fitness Lab,Skin Fold Calipers,Non Consumable
305,Exercise Tolerance and Fitness Lab,Skin Fold Calipers,Non Consumable
305,Exercise Tolerance and Fitness Lab,Skin Fold Calipers,Non Consumable
305,Exercise Tolerance and Fitness Lab,Weighing Scale,Non Consumable
305,Exercise Tolerance and Fitness Lab,Weighing Scale,Non Consumable
305,Exercise Tolerance and Fitness Lab,Weighing Scale,Non Consumable
305,Exercise Tolerance and Fitness Lab,Weighing Scale,Non Consumable
305,Exercise Tolerance and Fitness Lab,Weighing Scale,Non Consumable
305,Exercise Tolerance and Fitness Lab,Spirometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Spirometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Spirometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Pulse Oximeter,Non Consumable
305,Exercise Tolerance and Fitness Lab,Pulse Oximeter,Non Consumable
305,Exercise Tolerance and Fitness Lab,Pulse Oximeter,Non Consumable
305,Exercise Tolerance and Fitness Lab,Mannequins For CPR,Non Consumable
305,Exercise Tolerance and Fitness Lab,Mannequins For CPR,Non Consumable
305,Exercise Tolerance and Fitness Lab,Hand Evaluation Kit,Non Consumable
305,Exercise Tolerance and Fitness Lab,Hand Evaluation Kit,Non Consumable
305,Exercise Tolerance and Fitness Lab,Dynamometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Dynamometer,Non Consumable
305,Exercise Tolerance and Fitness Lab,Sensory Integration Kit,Non Consumable
305,Exercise Tolerance and Fitness Lab,Sensory Integration Kit,Non Consumable
305,Exercise Tolerance and Fitness Lab,Body Composition Kit,Non Consumable
