room_no,lab_name,equipment_name,status
302,ELECTROTHERAPY LAB,Hydrocollator pack unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Hydrocollator pack unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Paraffin wax bath,Non- Consumbale
302,ELECTROTHERAPY LAB,Paraffin wax bath,Non- Consumbale
302,ELECTROTHERAPY LAB,SWD-500 Watts,Non- Consumbale
302,ELECTROTHERAPY LAB,SWD-500 Watts,Non- Consumbale
302,ELECTROTHERAPY LAB,Microwave diathermy,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,Diagnostic Electric Stimulator,Non- Consumbale
302,ELECTROTHERAPY LAB,IFT,Non- Consumbale
302,ELECTROTHERAPY LAB,IFT,Non- Consumbale
302,ELECTROTHERAPY LAB,IFT,Non- Consumbale
302,ELECTROTHERAPY LAB,T.E.N.S,Non- Consumbale
302,ELECTROTHERAPY LAB,T.E.N.S,Non- Consumbale
302,ELECTROTHERAPY LAB,T.E.N.S,Non- Consumbale
302,ELECTROTHERAPY LAB,T.E.N.S,Non- Consumbale
302,ELECTROTHERAPY LAB,T.E.N.S,Non- Consumbale
302,ELECTROTHERAPY LAB,Ultrasound Therapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Ultrasound Therapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Ultrasound Therapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Ultrasound Therapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Electronic Traction unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Electronic Traction unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Electronic Traction unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Whirlpool Bath,Non- Consumbale
302,ELECTROTHERAPY LAB,Contrast Bath,Non- Consumbale
302,ELECTROTHERAPY LAB,UVR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,UVR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,IRR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,IRR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,IRR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,IRR Lamp,Non- Consumbale
302,ELECTROTHERAPY LAB,Laser Therapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,CPM U/L,Non- Consumbale
302,ELECTROTHERAPY LAB,CPM L/L,Non- Consumbale
302,ELECTROTHERAPY LAB,Cryotherapy Unit,Non- Consumbale
302,ELECTROTHERAPY LAB,Cryotherapy Unit,Non- Consumbale
