room_no,lab_name,equipment_name,status
301,Biomechanics and kinesiology lab,Postural Mirror,Non-Consumable
301,Biomechanics and kinesiology lab,Postural Mirror,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Plumb Line,Non-Consumable
301,Biomechanics and kinesiology lab,Orthosis and Prothesis,Non-Consumable
301,Biomechanics and kinesiology lab,Orthosis and Prothesis,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Goniometer,Non-Consumable
301,Biomechanics and kinesiology lab,Stadiometer,Non-Consumable
301,Biomechanics and kinesiology lab,Stadiometer,Non-Consumable
301,Biomechanics and kinesiology lab,Weighing Machine,Non-Consumable
301,Biomechanics and kinesiology lab,Weighing Machine,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
301,Biomechanics and kinesiology lab,Measuring Tape,Non-Consumable
