room_no,lab_name,equipment_name,status
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Diagnostic Electrical Stimulator,Consumable
306,Functional Diagnostics Lab,Biofeedback Unit,Consumable
306,Functional Diagnostics Lab,E.M.G./NCV/EP Unit,Consumable
